id,created_at,cart_products
2cedb3fe-fbfd-4c24-b1a4-8ee6d6602bde,2025-04-09 16:28:19.890837+00,{}
46c3ff84-eccf-49de-8e56-b629242b8747,2024-05-27 08:34:38.900941+00,{}
5f420c08-9b61-44c8-87d0-aff24f391461,2024-03-22 17:36:05.527214+00,{}
6490c925-9afd-4cdf-9139-29b2814bf73d,2024-06-06 18:50:39.416123+00,{}
668a5f02-ea88-48eb-87e9-66436b0a524e,2023-12-11 00:03:05.054459+00,{}
750fc3fc-58d7-4247-b4c0-2cfde46fc04e,2024-07-08 23:14:32.469206+00,"{""prod_PZr4Rgf6pxO1dy"":{""id"":""prod_PZr4Rgf6pxO1dy"",""quantity"":1}}"
857b0f2c-6f49-4cca-b936-c9887f019f2b,2024-01-17 09:56:49.031858+00,"{""prod_PGUE4dBlmMChbY"":{""id"":""prod_PGUE4dBlmMChbY"",""quantity"":3}}"
88067cc7-930a-4b56-b538-5b150884dc16,2024-09-27 11:47:08.42938+00,"{""prod_PhQP5rL3S677yt"":{""id"":""prod_PhQP5rL3S677yt"",""quantity"":1}}"
8e2d533a-efcb-477c-a0d2-8698075348bc,2024-04-16 17:26:17.19228+00,{}
a5d2e575-5be9-47a3-a9cb-a45c0fd1af18,2024-08-19 12:25:12.209404+00,{}
b3c0f387-b6ac-4d92-985a-5a332ea2d236,2025-02-15 19:17:11.074181+00,{}
ccd9ff60-3de7-4b63-a377-60c0fbade9c7,2023-12-21 09:28:33.009855+00,{}
ce6b2836-c5fc-49c1-b90f-80bb0e9f93bc,2023-12-11 01:53:48.747902+00,{}
cf6f18cf-de80-4468-b767-f9f0fcd02e7b,2023-11-28 11:33:12.279653+00,"{""prod_PhQP5rL3S677yt"":{""id"":""prod_PhQP5rL3S677yt"",""quantity"":2}}"
